WGTP,PWGTP,NOC,PERNP,AGEP,CPLT,COW,QTRBIR,SEX,HHL,TEN,RAC1P,SCHL,JWTRNS,ST,
0,16,-1,7000,23,0,1,3,1,0,0,9,12,1,26,
0,15,-1,0,65,0,0,4,1,0,0,1,16,0,26,
0,106,-1,8000,27,0,1,1,1,0,0,9,12,0,26,
0,29,-1,15000,21,0,1,1,2,0,0,1,19,10,26,
0,45,-1,0,64,0,0,3,1,0,0,1,1,0,26,
0,46,-1,4700,19,0,1,4,2,0,0,1,16,0,26,
0,4,-1,0,46,0,0,2,2,0,0,6,1,0,26,
0,69,-1,0,41,0,0,4,1,0,0,2,16,0,26,
0,64,-1,5000,19,0,1,3,2,0,0,1,19,10,26,
0,69,-1,7700,19,0,1,3,1,0,0,1,19,0,26,
0,83,-1,0,32,0,0,2,1,0,0,1,17,0,26,
0,100,-1,8500,27,0,1,4,2,0,0,1,17,0,26,
0,83,-1,7700,19,0,1,3,1,0,0,1,19,0,26,
0,67,-1,0,19,0,0,2,2,0,0,2,19,0,26,
0,5,-1,0,49,0,0,3,2,0,0,1,21,0,26,
0,39,-1,0,66,0,0,4,1,0,0,9,16,0,26,
0,64,-1,12000,18,0,5,4,1,0,0,1,16,10,26,
0,75,-1,0,59,0,1,1,1,0,0,9,19,0,26,
0,35,-1,170,53,0,4,2,1,0,0,2,17,0,26,
0,10,-1,60000,63,0,6,3,2,0,0,1,16,11,26,
0,75,-1,0,82,0,0,2,2,0,0,1,21,0,26,
0,35,-1,0,61,0,0,1,1,0,0,2,16,0,26,
0,48,-1,0,23,0,0,2,1,0,0,2,16,0,26,
0,19,-1,0,51,0,0,1,2,0,0,1,21,0,26,
0,12,-1,30000,35,0,1,3,1,0,0,1,20,0,26,
0,14,-1,0,87,0,0,3,2,0,0,1,11,0,26,
0,36,-1,0,38,0,1,3,1,0,0,1,16,0,26,
0,29,-1,0,48,0,1,2,1,0,0,1,20,0,26,
0,11,-1,0,62,0,0,4,2,0,0,1,21,0,26,
0,152,-1,2000,22,0,4,3,2,0,0,1,19,10,26,
0,29,-1,380,50,0,4,4,1,0,0,1,18,0,26,
0,11,-1,0,23,0,0,4,1,0,0,1,15,0,26,
0,15,-1,12000,50,0,2,3,1,0,0,1,22,1,26,
0,7,-1,0,95,0,0,1,1,0,0,1,19,0,26,
0,102,-1,0,26,0,0,2,1,0,0,2,17,0,26,
0,21,-1,0,95,0,0,4,2,0,0,1,16,0,26,
0,103,-1,1800,64,0,1,4,1,0,0,1,16,0,26,
0,34,-1,24000,21,0,1,2,1,0,0,1,19,0,26,
0,28,-1,0,24,0,0,1,1,0,0,1,17,0,26,
0,18,-1,0,52,0,0,2,1,0,0,5,17,0,26,
0,11,-1,18000,70,0,1,4,2,0,0,1,14,11,26,
0,85,-1,0,95,0,0,3,2,0,0,1,19,0,26,
0,59,-1,36000,43,0,2,4,1,0,0,1,21,10,26,
0,37,-1,0,31,0,1,2,1,0,0,1,16,0,26,
0,68,-1,6000,20,0,1,2,1,0,0,1,19,11,26,
0,6,-1,0,52,0,0,2,2,0,0,1,13,0,26,
0,27,-1,13000,21,0,4,2,1,0,0,2,19,1,26,
0,56,-1,3200,19,0,1,3,2,0,0,1,19,10,26,
0,65,-1,7000,19,0,1,2,2,0,0,1,19,0,26,
0,7,-1,0,76,0,1,3,1,0,0,1,21,0,26,
0,43,-1,2500,19,0,1,1,2,0,0,1,19,0,26,
0,25,-1,0,60,0,0,2,1,0,0,2,14,0,26,
0,122,-1,600,39,0,4,2,2,0,0,2,19,0,26,
0,4,-1,8500,21,0,1,2,1,0,0,1,19,0,26,
0,17,-1,3800,37,0,2,1,2,0,0,9,24,11,26,
0,32,-1,0,71,0,0,3,1,0,0,2,16,0,26,
0,42,-1,600,19,0,6,2,1,0,0,6,19,0,26,
0,23,-1,0,89,0,0,3,2,0,0,1,16,0,26,
0,91,-1,0,77,0,0,1,2,0,0,1,22,0,26,
0,52,-1,1200,19,0,1,1,2,0,0,1,16,0,26,
0,25,-1,0,75,0,0,4,1,0,0,1,11,0,26,
0,50,-1,0,30,0,1,4,1,0,0,2,17,0,26,
0,8,-1,0,95,0,0,1,2,0,0,1,17,0,26,
0,31,-1,0,20,0,0,2,2,0,0,1,20,0,26,
0,40,-1,5000,52,0,4,3,1,0,0,2,17,0,26,
0,9,-1,0,72,0,0,3,1,0,0,1,20,0,26,
0,32,-1,0,51,0,1,2,1,0,0,1,19,0,26,
0,26,-1,0,71,0,0,4,2,0,0,2,14,0,26,
0,20,-1,0,61,0,0,1,2,0,0,2,21,0,26,
0,40,-1,0,27,0,0,1,1,0,0,1,14,0,26,
0,60,-1,0,67,0,0,1,1,0,0,1,17,0,26,
0,17,-1,0,55,0,0,4,1,0,0,1,16,0,26,
0,87,-1,0,36,0,1,2,1,0,0,1,17,0,26,
0,2,-1,24000,35,0,1,3,1,0,0,1,16,0,26,
0,14,-1,43700,27,0,4,2,2,0,0,9,22,10,26,
0,55,-1,43300,19,0,1,2,1,0,0,1,19,0,26,
0,10,-1,0,82,0,0,1,1,0,0,1,19,0,26,
0,62,-1,8600,18,0,1,2,2,0,0,2,16,1,26,
