PWGTP,PERNP,AGEP,COW,QTRBIR,SEX,RAC1P,SCHL,JWTRNS
38,0,31,0,2,1,1,17,0
64,0,91,0,3,2,1,16,0
75,0,18,0,1,2,1,18,0
53,5300,18,1,1,2,1,18,10
7,0,55,9,1,1,2,16,0
12,0,95,0,1,2,1,16,0
83,0,59,0,4,1,1,1,0
29,9600,24,1,3,2,2,16,1
83,0,70,0,2,1,1,19,0
129,0,43,1,4,2,2,19,0
36,0,66,0,4,1,2,16,0
72,15000,18,1,2,2,1,19,1
30,0,66,0,4,1,2,16,0
15,0,69,0,3,2,1,22,0
2,0,95,0,4,2,1,16,0
27,0,84,0,1,2,1,12,0
3,0,40,0,4,1,2,1,0
108,0,54,0,2,1,1,16,0
76,3000,18,1,3,2,1,18,0
41,300,18,1,1,2,1,16,10
58,3500,18,1,2,1,6,19,2
8,2300,22,1,1,2,2,19,0
91,5000,18,1,3,1,1,18,11
92,0,25,0,3,1,1,17,0
37,2500,41,1,4,1,2,19,0
74,3200,19,1,2,1,1,19,10
63,0,20,0,2,1,1,18,0
45,6600,21,1,4,1,9,19,0
12,0,78,0,1,1,1,16,0
92,500,19,3,3,2,1,18,0
71,0,70,4,1,1,1,19,0
54,0,59,0,3,1,2,17,0
73,0,47,0,4,1,2,17,0
22,0,79,0,4,2,1,1,0
80,72000,33,4,1,1,2,14,0
20,20000,34,1,1,1,1,14,1
65,0,45,0,4,1,2,16,0
65,7700,19,1,3,1,1,19,0
39,6000,19,3,4,1,1,18,0
9,0,95,0,3,2,1,16,0
57,0,29,0,1,1,2,11,0
76,500,18,1,1,2,1,18,0
77,8600,19,1,3,2,1,19,10
22,0,54,0,1,1,9,16,0
7,0,84,1,3,2,1,16,0
77,17300,31,1,3,1,2,14,0
28,4000,20,1,2,2,1,19,1
64,13000,22,1,2,2,1,19,0
10,0,80,0,4,2,2,21,0
45,1100,17,1,4,1,1,16,0
5,1700,21,4,1,1,1,19,9
68,0,18,1,2,1,1,18,0
25,50000,42,1,3,2,1,16,1
33,12000,18,1,1,2,9,19,11
48,0,66,0,4,2,2,16,0
29,0,95,0,2,1,1,11,0
56,0,18,0,2,2,1,19,0
66,3500,31,1,4,1,1,16,0
91,0,32,0,4,1,9,17,0
89,0,79,0,2,2,1,16,0
62,630,20,1,2,2,1,19,0
39,0,76,0,3,1,1,16,0
36,0,86,0,1,1,1,19,0
34,10400,36,8,3,2,1,21,11
78,0,90,0,3,2,1,16,0
17,2900,22,4,3,2,1,16,11
141,9000,24,2,2,1,6,21,10
106,0,87,0,4,2,1,16,0
20,0,74,0,4,2,1,16,0
65,29600,39,2,1,1,3,16,0
67,500,19,4,4,2,1,19,10
94,0,18,0,4,2,6,18,0
20,0,16,0,4,2,1,12,0
74,640,51,1,4,1,2,16,0
176,0,36,1,4,1,1,17,0
46,10000,19,1,2,1,1,18,1
23,0,19,0,2,2,1,19,0
62,7000,20,1,2,2,1,19,10
13,0,95,0,3,2,2,21,0
51,0,32,0,2,1,2,14,0
2,0,66,0,2,2,1,15,0
2,9000,21,2,2,2,9,19,10
82,22500,39,1,3,1,1,13,1
15,15700,29,1,4,1,9,16,10
18,0,80,0,2,2,1,16,0
48,0,62,0,3,1,1,16,0
67,0,88,0,3,2,1,16,0
18,0,73,0,4,1,5,12,0
8,0,77,0,3,2,1,15,0
92,10400,75,4,2,1,2,21,0
